Sully Prudhomme; Les Vaines Tendresses ;Sully Prudhomme ;Trieste Publishing ;2017-09 ;0649030508;
Sully Prudhomme ;Sully Prudhomme ; ;1930 ; ;
Christianity in the Roman Empire ;Theodor Mommsen ; ; ; ;
Das Edict Diocletians ;Theodor Mommsen ;Wentworth Press ;2019-04-11 ;1012921735;
Digesta recogn. Theodorus Mommsen ;Iustinianus I. Imperator, Theodor Mommsen ; ;1872 ; ;
The History of Rome, Book I ;Theodor Mommsen ; ;2006 ; ;
Analecta Liviana ;Theodor Mommsen ; ;1972 ; ;
C. Iulii Solini Collectanea Rerum Memorabilium ;Gaius Iulius Solinus, Theodor Mommsen ;Sagwan Press ;2018-02-08 ;1377091031;
The History of Rome ... Translated ... by W. P. Dickson. A New Edition Revised, Etc ;Theodor MOMMSEN ; ;1894 ; ;
The History of Rome; Volume IV ;Theodor Mommsen ;Legare Street Press ;2022-10-27 ;1017303193;
Caesar ;Theodor Mommsen ; ;1947 ; ;
Epitoma Chronicon. [Edited by T. Mommsen.]. ;Tyro PROSPER, Theodor Mommsen ; ;1892 ; ;
Inscriptionum Illyrici Latinarum Supplementum. Ediderunt T. Mommsen, O. Hirschfeld, A. Domaszewski ;Theodor Mommsen, Alfred von DOMASZEWSKI, Heinrich Otto HIRSCHFELD ; ;1889 ; ;
Last Wishes ;Theodor Mommsen ; ;1952 ; ;
Notarum Laterculi ;Theodor Mommsen (Historiker, Jurist, Deutschland) ; ;1863 ; ;
Notarum Laterculi ;Theodor Mommsen ; ; ; ;
Note on Greek Weights ;Theodor Mommsen ; ;1868 ; ;
The period anterior to the abolition of the monarchy. From the abolition of the monarchy in Rome to the union of Italy ;Theodor Mommsen ; ;1895 ; ;
Epigraphische Analeklen ;Theodor Mommsen ; ;1850 ; ;
Letters on the War Between Germany and France ;Theodor Mommsen, David Friedrich Strauss, Thomas Carlyle, Friedrich Max Müller ; ; ; ;
Scipione ;Theodor Mommsen ; ;1979 ; ;
The history of Rome ;Theodor Mommsen ; ;1901 ; ;
The Judgment of Our Neighbors ;Theodor Mommsen ; ;1899 ; ;
Note on Greek Weights ;Theodor Mommsen ; ;1868 ; ;
The European Province ;Theodor Mommsen ; ;1968 ; ;
The provinces ;Theodor Mommsen ; ;1886 ; ;
The History of Rome, Book III : from the Union of Italy to the Subjugation of Carthage and the Greek States ;Theodor Mommsen ; ;2016-01-21 ;1523610980;
Porcia. [Showing that Porcia was the Sister, Not the Daughter, of Cato.] (Die Litteraturbriefe Des Horaz.) [Extracted from "Hermes," Vol. 15.]. ;Theodor Mommsen ; ;1880 ; ;
Juristische Schriften ;Theodor Mommsen ; ;1907 ; ;
Römische Geschichte ;Theodor Mommsen, Karl Christ ; ;1986 ; ;
Aus dem "Liederbuch dreier Freunde" (Theodor Mommsen ; Theodor Storm ; [Johannes] Tycho Mommsen) Kiel, 1843 ;Theodor Mommsen, Johannes Tycho Mommsen, Theodor Storm ; ;2005 ; ;
Roma Tarihi 1. Cilt - Krallik Dönemi ;Theodor Mommsen ; ;2021-10 ;605020859X;
The Earliest Inhabitants of Italy, from Theodore Mommsen's History of Rome ;Theodor Mommsen ; ;1858 ; ;
The earliest inhabitants of Italy; from T. Mommsen's History of Rome, tr. by G. Robertson ;Theodor Mommsen ; ;1858 ; ;
Theodor Mommsen und Adolf Harnack ;Stefan Rebenich, Theodor Mommsen, Adolf von Harnack ;Walter de Gruyter ;1997 ;3110150794;
The History of Rome ;Theodor Mommsen ; ;1903 ; ;
Index to the History of Rome ;Theodor Mommsen ; ;1870 ; ;
The Provinces of the Roman Empire ;Theodor Mommsen ; ;1906 ; ;
The Provinces of the Roman Empire from Caesar to Diocletian ;Theodor Mommsen, William Purdie Dickson ; ;1887 ; ;
The History of Rome ;Theodor Mommsen ;Cambridge University Press ;2010-04-08 ;9781108009768;
The History of Rome (Complete Edition: Vol. 1-5) ;Theodor Mommsen ;e-artnow ;2018-06-03 ;9788026894100;
Rome, from Earliest Times to 44 B. C. ;Theodor Mommsen ; ;1906 ; ;
The History of Rome: Establishment of the military monarchy ;Theodor Mommsen ; ;1868 ; ;
The history of Rome, tr. by W.P. Dickson. [With] Index. [With] Index ;Theodor Mommsen ; ;1870 ; ;
The History of the Roman Republic ;Theodor Mommsen, Frederick James Robert Hendy ; ;1889 ; ;
the digest of justinian ;Theodor Mommsen ;CUP Archive ;1998 ; ;
The period anterior to the abolition of the monarchy. From the abolition of the monarchy in Rome to the union of Italy ;Theodor Mommsen, William Purdie Dickson ; ;1895 ; ;
From the union of Italy to the subjugation of Carthage and the Greek states-continued. The Revolution ;Theodor Mommsen, William Purdie Dickson ; ;1895 ; ;
The History of Rome: From the union of Italy to the subjugation of Carthage and the Greek states ;Theodor Mommsen ; ;1868 ; ;
From the abolition of the monarchy in Rome to the union of Italy-continued. From the union of Italy to the subjugation of Carthage and the Greek states ;Theodor Mommsen, William Purdie Dickson ; ;1895 ; ;
The History of Rome ;Theodor Mommsen ; ;1958 ; ;
Gesammelte Schriften ;Theodor Mommsen ; ;1965 ; ;
Rome ;Theodor Mommsen ; ;1913 ; ;
7 best short stories by Bjørnstjerne Bjørnson ;Bjørnstjerne Bjørnson, August Nemo ;Tacet Books ;2020-05-15 ;9783968581958;
Pamphlets by and about Bjørnstjerne Bjørnson ;Bjørnstjerne Bjørnson ; ; ; ;
Essential Novelists - Bjørnstjerne Bjørnson ;Bjørnstjerne Bjørnson, August Nemo ;Tacet Books ;2020-05-07 ;9783968580289;
Works of Bjørnstjerne Bjørnson ;Bjørnstjerne Bjørnson ; ;1882 ; ;
The Bjørnstjerne Bjørnson MEGAPACK ® ;Bjørnstjerne Bjørnson ;Wildside Press LLC ;2014-02-06 ;9781479401802;
Three Comedies ;Bjørnstjerne Bjørnson ;Good Press ;2019-12-05 ; ;
Captain Mansana ;Bjørnstjerne Bjørnson ; ;1882 ; ;
A Happy Boy ;Bjørnstjerne Bjørnson ;DigiCat ;2022-09-04 ; ;
Captain Mansana & Mother's Hands ;Bjørnstjerne Bjørnson ;Litres ;2021-01-18 ;9785041626884;
A Happy Boy ;Bjørnstjerne Bjørnson ; ;1882 ; ;
The Novels of Björnstjerne Björnson ;Bjørnstjerne Bjørnson ; ;1898 ; ;
Three Plays ;Bjørnstjerne Bjørnson ;Howard Fertig Pub ;1989 ; ;
Bjørnstjerne Bjørnson. Modern Norwegian Literature ;Øyvind Anker, Bjørnstjerne Bjørnson ; ;1955 ; ;
7 best short stories - Fatherhood ;Bjørnstjerne Bjørnson, D. H. Lawrence, Jack London, Edith Wharton, Guy de Maupassant, Henry Lawson, Katherine Mansfield, August Nemo ;Tacet Books ;2020-05-12 ;9783967995701;
Three Dramas ;Bjørnstjerne Bjørnson ;Good Press ;2019-12-19 ; ;
Absalom's Hair ;Bjørnstjerne Bjørnson ;Library of Alexandria ;2020-09-28 ;9781465607003;
Poems and Songs ;Bjørnstjerne Bjørnson ;Tredition Classics ;2011-11 ;3842463731;
Synnövé Solbakken ;Bjørnstjerne Bjørnson ; ;1972 ; ;
The Novels of Bjornstjerne Bjornson ;Bjørnstjerne Bjørnson ; ;1909 ; ;
A Happy Boy ;Bjørnstjerne Bjørnson ; ;2017-05-16 ;3337096727;
The Bridal March, and One Day ;Bjørnstjerne Bjørnson ; ;2008-02-01 ;1406592218;
Beyond Our Power ;Bjørnstjerne Bjørnson ;Fredonia Books (NL) ;2003-10 ;1410103617;
Three Dramas: The Editor--The Bankrupt--The King ;Bjørnstjerne Bjørnson ;Greenwood ;1974 ; ;
The Novels of Björnstjerne Björnson ;Bjørnstjerne Bjørnson ; ;1909 ; ;
Poems and Songs, by Bjornstjerne Bjornson ;Bjørnstjerne Bjørnson, Arthur H 1859-1918 Palmer ;Legare Street Press ;2022-10-27 ;1017717370;
Plays, by Bjornstjerne Bjornson ;Bjørnstjerne Bjørnson ; ;1914 ; ;
Synnove Solbakken ;Bjørnstjerne Bjørnson ;Jiahu Books ;2013-09 ;190966944X;
The Fisher Lass ;Bjørnstjerne Bjørnson ; ;1896 ; ;
Arne ;Bjørnstjerne Bjørnson ;Alpha Edition ;2022-01-25 ;9355758588;
The Novels of Björnstjerne Björnson: Mary ;Bjørnstjerne Bjørnson ; ;1896 ; ;
The Railroad and the Churchyard and the Father ;Bjørnstjerne Bjørnson ; ;2004-11 ;1410107728;
Big Book of Best Short Stories: Volume 8 ;Émile Zola, Stewart Edward Whit, Sarah Orne Jewett, Robert W. Chambers, George Ade, George Gissing, Lord Dunsany, Ruth McEnery Stuart, Bjørnstjerne Bjørnson ;Tacet Books ;2019-03-26 ;9788577771691;
The Newly-Married Couple ;Bjørnstjerne Bjørnson ;Library of Alexandria ;2020-09-28 ;9781465607140;
Plays By Bjørnstjerne Bjørnson: Second Series: Love and Geography (Geografi Og Kjærlighed): Beyond Human Might (Over Evne: Annet Stykke): Laboremus (Laboremus) ;Bjørnstjerne Bjørnson ; ;1914 ; ;
Plays, by Bjørnstjerne Bjornson ;Bjørnstjerne Bjørnson, Edwin August Bjorkman ; ;1915 ; ;
The Fisher Girl ;Bjørnstjerne Bjørnson ; ;1871 ; ;
Plays By Bjørnstjerne Bjørnson: the Gauntlet (En Hanske): Beyond Our Power (Over Evne): the New System (Det Ny System): Translated From the Norwegian With an Introduction By Edwin Björkman ;Bjørnstjerne Bjørnson ; ;1913 ; ;
Captain Mansana ;Bjørnstjerne Bjørnson ;New York : Macmillan ;1897 ; ;
The Fisher Girl ;Bjørnstjerne Bjørnson ; ;2011-10-27 ;1466476788;
Magnhild; Dust ;Bjørnstjerne Bjørnson ;Litres ;2021-03-16 ;9785040627196;
7 best short stories - Morality Tales ;Stephen Leacock, Leo Tolstoy, Mark Twain, Bjørnstjerne Bjørnson, Kate Chopin, Guy de Maupassant, Matsuo Bashō, August Nemo ;Tacet Books ;2020-05-12 ;9783967991888;
The Bridal March ;Bjørnstjerne Bjørnson ;Ayer Company Pub ;1969 ;083693136X;
In God's Way ;Bjørnstjerne Bjørnson ;New York : Macmillan Company ;1908 ; ;
Synnöve Solbakken, Arne, & Early tales & sketches.-v.2. A happy boy, The fisher maiden, & later sketches.-v.3. The bridal march, Captain Mansana, Magnhild, & Dust ;Bjørnstjerne Bjørnson ; ;1885 ; ;
Novels ;Bjørnstjerne Bjørnson ; ;1896 ; ;
Best Short Stories Omnibus - Volume 2 ;August Nemo, Mary Shelley, D. H. Lawrence, Ellis Parker Butler, Anthony Trollope, Zona Gale, Emma Orczy, Don Marquis, Charles W. Chesnutt, Kathleen Norris, Stanley G. Weinbaum, Honoré de Balzac, M. R. James, Banjo Paterson, Bret Harte, Henry Lawson, W. W. Jacobs, Charlotte M. Yonge, Mary E. Wilkins Freeman, L. Frank Baum, O. Henry, William Dean Howells, T. S. Arthur, Sherwood Anderson, Robert Barr, Lafcadio Hearn, Giovanni Verga, Hamlin Garland, Émile Zola, Stewart Edward White, Sarah Orne Jewett, Willa Cather, George Ade, Robert W. Chambers, Bjørnstjerne Bjørnson, Ruth McEnery Stuart, Lord Dunsany, George Gissing, Théophile Gautier, Paul Heyse, Selma Lagerlöf, Thomas Burke, Edith Nesbit, Arthur Morrison, Saki (H.H. Munro), Stacy Aumonier, John Galsworthy, Ernest Bramah ;Tacet Books ;2020-04-10 ;9783968587172;
The Harvard Classics Shelf of Fiction - Complete 20 Volumes ;Henry Fielding, Laurence Sterne, Jane Austen, Walter Scott, William Makepeace Thackeray, Charles Dickens, George Eliot, Nathaniel Hawthorne, Washington Irving, Edgar Allan Poe, Francis Bret Harte, Mark Twain, Edward Everett Hale, Henry James, Victor Hugo, Honoré Balzac, George Sand, Alfred de Musset, Alphonse Daudet, Guy de Maupassant, Johann Wolfgang Goethe, Gottfried Keller, Theodor Storm, Theodor Fontane, Leo Tolstoy, Fyodor Dostoevsky, Ivan Turgenev, Juan Valera, Bjørnstjerne Bjørnson, Alexander L. Kielland ;e-artnow ;2019-05-06 ;9788027305025;
Harvard Classics - The Complete Shelf of Fiction ;Bjørnstjerne Bjørnson, Theodor Storm, Charles Dickens, Theodor Fontane, Gottfried Keller, Mark Twain, Edgar Allan Poe, Henry James, Victor Hugo, Jane Austen, Alphonse Daudet, Guy de Maupassant, George Eliot, Walter Scott, Laurence Sterne, Henry Fielding, George Sand, Washington Irving, Juan Valera, Alfred de Musset, Nathaniel Hawthorne, William Makepeace Thackeray, Edward Everett Hale, Francis Bret Harte, Ivan Turgenev, Leo Tolstoy, Fyodor Dostoevsky, Johann Wolfgang Goethe, Honoré Balzac, Alexander L. Kielland ;DigiCat ;2022-11-13 ; ;
Harvard Classics (All 20 Volumes in One Edition) ;Bjørnstjerne Bjørnson, Theodor Storm, Charles Dickens, Theodor Fontane, Gottfried Keller, Mark Twain, Edgar Allan Poe, Henry James, Victor Hugo, Jane Austen, Alphonse Daudet, Guy de Maupassant, George Eliot, Walter Scott, Laurence Sterne, Henry Fielding, George Sand, Washington Irving, Juan Valera, Alfred de Musset, Nathaniel Hawthorne, William Makepeace Thackeray, Edward Everett Hale, Francis Bret Harte, Ivan Turgenev, Leo Tolstoy, Fyodor Dostoevsky, Johann Wolfgang Goethe, Honoré Balzac, Alexander L. Kielland ;DigiCat ;2022-11-13 ; ;
Björnson's Works ;Bjørnstjerne Bjørnson ;Franklin Classics ;2018-10-11 ;0342427407;
The Heritage of the Kurts ;Bjørnstjerne Bjørnson ; ;1908 ; ;
Synnövé Solbakken: a Norwegian Tale ;Bjørnstjerne Bjørnson ; ;1881 ; ;
The Greatest Christmas Classics of All Time ;Bjørnstjerne Bjørnson, Selma Lagerlöf, Charles Dickens, Mark Twain, Harriet Beecher Stowe, Robert Louis Stevenson, Henry Wadsworth Longfellow, Max Brand, William Wordsworth, Carolyn Wells, Sophie May, Louisa May Alcott, Alphonse Daudet, William John Locke, Guy de Maupassant, Walter Scott, Gustavo Adolfo Bécquer, Benito Pérez Galdós, Armando Palacio Valdés, Susan Anne Livingston Ridley Sedgwick, Anthony Trollope, Marcel Prévost, Rudyard Kipling, Beatrix Potter, Mary Hartwell Catherwood, Emily Dickinson, Bret Harte, Lucas Malet, Thomas Nelson Page, O. Henry, Saki, François Coppée, Maud Lindsay, Alice Hale Burnett, Walter Crane, André Theuriet, Amy Ella Blanchard, Isabel Cecilia Williams, Amanda M. Douglas, Edgar Wallace, Booker T. Washington, Olive Thorne Miller, Vernon Lee, Anne Hollingsworth Wharton, Kate Upson Clark, Ernest Ingersoll, Willis Boyd Allen, F. L. Stealey, J. M. Barrie, Eleanor H. Porter, Annie F. Johnston, Jacob A. Riis, Elbridge S. Brooks, Edward A. Rand, Florence L. Barclay, E. T. A. Hoffmann, Harrison S. Morris, Robert E. Howard, Marjorie L. C. Pickthall, Hans Christian Andersen, William Butler Yeats, Henry van Dyke, Anton Chekhov, Fyodor Dostoevsky, Alfred Lord Tennyson, A. S. Boyd, Juliana Horatia Ewing, Clement Moore, Nora A. Smith, Phebe A. Curtiss, Nellie C. King, Lucy Wheelock, Aunt Hede, Frederick E. Dewhurst, Jay T. Stocking, Anna Robinson, Florence M. Kingsley, M. A. L. Lane, Elizabeth Harkison, F. E. Mann, Winifred M. Kirkland, Katherine Pyle, Grace Margaret Gallaher, Elia W. Peattie, F. Arnstein, James Weber Linn, Antonio Maré, Jules Simon, Marion Clifford, E. E. Hale, Georg Schuster, Matilda Betham Edwards, Angelo J. Lewis, Raymond McAlden, Pedro A. de Alarcón, Maxime du Camp ;DigiCat ;2022-11-07 ; ;
The Big Christmas Basket: 200+ Christmas Novels, Stories, Poems & Carols (Illustrated) ;Louisa May Alcott, O. Henry, Mark Twain, Beatrix Potter, Charles Dickens, Harriet Beecher Stowe, Emily Dickinson, Robert Louis Stevenson, Rudyard Kipling, Hans Christian Andersen, Selma Lagerlöf, Fyodor Dostoevsky, Walter Scott, J. M. Barrie, Anthony Trollope, Henry van Dyke, E. T. A. Hoffmann, Clement Moore, Henry Wadsworth Longfellow, William Wordsworth, Alfred Lord Tennyson, William Butler Yeats, Eleanor H. Porter, Jacob A. Riis, Susan Anne Livingston Ridley Sedgwick, Sophie May, Lucas Malet, Juliana Horatia Ewing, Alice Hale Burnett, Annie F. Johnston, Amanda M. Douglas, Amy Ella Blanchard, Carolyn Wells, Walter Crane, Thomas Nelson Page, Florence L. Barclay, A. S. Boyd, Edward A. Rand, Max Brand, William John Locke, Nora A. Smith, Phebe A. Curtiss, Nellie C. King, Booker T. Washington, Lucy Wheelock, Aunt Hede, Frederick E. Dewhurst, Maud Lindsay, Marjorie L. C. Pickthall, Jay T. Stocking, Anna Robinson, Florence M. Kingsley, Olive Thorne Miller, M. A. L. Lane, Elizabeth Harkison, Raymond McAlden, F. E. Mann, Winifred M. Kirkland, François Coppée, Katherine Pyle, Grace Margaret Gallaher, Elia W. Peattie, F. Arnstein, James Weber Linn, Anne Hollingsworth Wharton, Elbridge S. Brooks, Isabel Cecilia Williams, Anton Chekhov, Armando Palacio Valdés, André Theuriet, Alphonse Daudet, Benito Pérez Galdós, Antonio Maré, Pedro A. de Alarcón, Jules Simon, Marcel Prévost, Gustavo Adolfo Bécquer, Maxime du Camp, Mary Hartwell Catherwood, F. L. Stealey, Kate Upson Clark, Marion Clifford, E. E. Hale, Willis Boyd Allen, Edgar Wallace, Georg Schuster, Harrison S. Morris, Bjørnstjerne Bjørnson, Matilda Betham Edwards, Angelo J. Lewis, Vernon Lee, Guy de Maupassant, Saki, Bret Harte, Robert E. Howard, Ernest Ingersoll ;e-artnow ;2017-11-19 ;9788027301287;
In God's Way ;Bjørnstjerne Bjørnson ; ;1890 ; ;
Ovind: A Story of Country Life in Norway ;Bjørnstjerne Bjørnson ;Library of Alexandria ;2020-09-28 ;9781465607157;
The Ultimate Christmas Library: 400+ Novels, Stories, Poems, Carols & Legends ;Bjørnstjerne Bjørnson, Selma Lagerlöf, Charles Dickens, Mark Twain, Harriet Beecher Stowe, Martin Luther, Robert Louis Stevenson, William Shakespeare, Henry Wadsworth Longfellow, Max Brand, William Wordsworth, Carolyn Wells, Charles Mackay, John Addington Symonds, Sophie May, Louisa May Alcott, Henry Van Dyke, Frances Hodgson Burnett, Andrew Lang, Frances Ridley Havergal, Alphonse Daudet, William John Locke, Walter Scott, Gustavo Adolfo Bécquer, Booth Tarkington, Benito Pérez Galdós, Elizabeth Cleghorn Gaskell, Armando Palacio Valdés, William Morris, Anthony Trollope, Marcel Prévost, Rudyard Kipling, Beatrix Potter, Robert Herrick, Mary Hartwell Catherwood, Emily Dickinson, Bret Harte, Hamilton Wright Mabie, Meredith Nicholson, Lucas Malet, Isaac Watts, James Russell Lowell, James Whitcomb Riley, Thomas Nelson Page, O. Henry, Phillips Brooks, Saki, William Makepeace Thackeray, Sarah Orne Jewett, François Coppée, Oliver Bell Bunce, Susan Coolidge, Samuel McChord Crothers, Maud Lindsay, Alice Hale Burnett, Walter Crane, André Theuriet, Amy Ella Blanchard, Isabel Cecilia Williams, Evaleen Stein, Amanda M. Douglas, Edgar Wallace, George Wither, Booker T. Washington, Olive Thorne Miller, Vernon Lee, Anne Hollingsworth Wharton, Henry Vaughan, Eliza Cook, Kate Upson Clark, Ben Jonson, Ernest Ingersoll, Frank Samuel Child, Willis Boyd Allen, Georgianna M. Bishop, Edward Thring, F. L. Stealey, James Selwin Tait, Tudor Jenks, L. Frank Baum, C. N. Williamson, A. M. Williamson, J. M. Barrie, Eleanor H. Porter, Annie F. Johnston, Jacob A. Riis, Elbridge S. Brooks, Edward A. Rand, Florence L. Barclay, E. T. A. Hoffmann, Harrison S. Morris, Robert E. Howard, Marjorie L. C. Pickthall, Sarah P. Doughty, Hans Christian Andersen, William Butler Yeats, Richard Watson Gilder, Lucy Maud Montgomery, Anton Chekhov, Mary Louisa Molesworth, Leo Tolstoy, Fyodor Dostoevsky, Cecil Frances Alexander, Mary E. Wilkins Freeman, Margaret Deland, William Drummond, Robert Southwell, Reginald Heber, Alfred Lord Tennyson, George Macdonald, A. S. Boyd, Maxime Du Camp, Mary Austin, Juliana Horatia Ewing, Guy De Maupassant, Brothers Grimm, Clement Moore, Susan Anne Livingston, Ridley Sedgwick, Selma Lagerlof, Nora A. Smith, Phebe A. Curtiss, Nellie C. King, Lucy Wheelock, Aunt Hede, Frederick E. Dewhurst, Jay T. Stocking, Anna Robinson, Florence M. Kingsley, M. A. L. Lane, Elizabeth Harkison, Raymond Mcalden, F. E. Mann, Winifred M. Kirkland, Katherine Pyle, Grace Margaret Gallaher, Elia W. Peattie, F. Arnstein, James Weber Linn, Antonio Maré, Pedro A. De Alarcón, Jules Simon, Marion Clifford, E. E. Hale, Georg Schuster, Matilda Betham Edwards, Angelo J. Lewis, William Francis Dawson, Christopher North, Alfred Domett, Dinah Maria Mulock, James S. Park, Edmund Hamilton Sears, Edmund Bolton, C.s. Stone, Harriet F. Blodgett, John G. Whittier, Christian Burke, Emily Huntington Miller, Cyril Winterbotham, Enoch Arnold Bennett, John Punnett Peters ;DigiCat ;2022-11-13 ; ;
The Fisher-maiden ;Bjørnstjerne Bjørnson ; ;1874 ; ;
The Santa's Great Treasure Chest: 450+ Christmas Novels, Tales, Carols & Legends ;Louisa May Alcott, Charles Dickens, O. Henry, Mark Twain, Beatrix Potter, William Shakespeare, Harriet Beecher Stowe, Emily Dickinson, Robert Louis Stevenson, Rudyard Kipling, Hans Christian Andersen, Selma Lagerlöf, Fyodor Dostoevsky, Martin Luther, Walter Scott, J. M. Barrie, Anthony Trollope, Brothers Grimm, L. Frank Baum, Lucy Maud Montgomery, George Macdonald, Leo Tolstoy, Henry Van Dyke, E. T. A. Hoffmann, Clement Moore, Henry Wadsworth Longfellow, William Wordsworth, Alfred Lord Tennyson, William Butler Yeats, Eleanor H. Porter, Jacob A. Riis, Susan Anne Livingston, Ridley Sedgwick, Sophie May, Lucas Malet, Juliana Horatia Ewing, Alice Hale Burnett, Ernest Ingersoll, Annie F. Johnston, Amanda M. Douglas, Amy Ella Blanchard, Carolyn Wells, Walter Crane, Thomas Nelson Page, Florence L. Barclay, A. S. Boyd, Edward A. Rand, Max Brand, William John Locke, Nora A. Smith, Phebe A. Curtiss, Nellie C. King, Booker T. Washington, Lucy Wheelock, Aunt Hede, Frederick E. Dewhurst, Maud Lindsay, Marjorie L. C. Pickthall, Jay T. Stocking, Anna Robinson, Florence M. Kingsley, Olive Thorne Miller, M. A. L. Lane, Elizabeth Harkison, Raymond Mcalden, F. E. Mann, Winifred M. Kirkland, François Coppée, Katherine Pyle, Grace Margaret Gallaher, Elia W. Peattie, F. Arnstein, James Weber Linn, Anne Hollingsworth Wharton, Elbridge S. Brooks, Isabel Cecilia Williams, Anton Chekhov, Armando Palacio Valdés, André Theuriet, Alphonse Daudet, Benito Pérez Galdós, Antonio Maré, Pedro A. De Alarcón, Jules Simon, Marcel Prévost, Gustavo Adolfo Bécquer, Maxime Du Camp, Mary Hartwell Catherwood, F. L. Stealey, Kate Upson Clark, Marion Clifford, E. E. Hale, Willis Boyd Allen, Edgar Wallace, Georg Schuster, Harrison S. Morris, Bjørnstjerne Bjørnson, Matilda Betham Edwards, Angelo J. Lewis, Vernon Lee, Guy De Maupassant, Saki, Bret Harte, Robert E. Howard, William Francis Dawson, Hamilton Wright Mabie, Christopher North, Susan Coolidge, Oliver Bell Bunce, Phillips Brooks, William Drummond, James Russell Lowell, Alfred Domett, Reginald Heber, Dinah Maria Mulock, Margaret Deland, John Addington Symonds, Edward Thring, Cecil Frances Alexander, Mary Austin, James S. Park, Isaac Watts, Robert Herrick, Edmund Hamilton Sears, Ben Jonson, Edmund Bolton, Robert Southwell, C.s. Stone, James Whitcomb Riley, Frances Ridley Havergal, William Morris, Charles Mackay, Harriet F. Blodgett, Eliza Cook, George Wither, John G. Whittier, Richard Watson Gilder, Tudor Jenks, William Makepeace Thackeray, Henry Vaughan, Christian Burke, Andrew Lang, Emily Huntington Miller, Cyril Winterbotham, Enoch Arnold Bennett, Mary Louisa Molesworth, Meredith Nicholson, A. M. Williamson, C. N. Williamson, Elizabeth Cleghorn Gaskell, James Selwin Tait, Booth Tarkington, Evaleen Stein, Frances Hodgson Burnett, Frank Samuel Child, Samuel McChord Crothers, Sarah Orne Jewett, Georgianna M. Bishop, Sarah P. Doughty, John Punnett Peters, Mary E. Wilkins Freeman, Mary Elizabeth Braddon, Margaret Sidney, Nell Speed, Laura Elizabeth Richards, Arthur Conan Doyle, Willa Cather, Ralph Henry Barbour, Cyrus Townsend Brady, Mary Stewart Cutting, William Douglas O'Connor, Nathaniel Hawthorne, Ruth McEnery Stuart, S. Weir Mitchell, John Leighton, W. H. H. Murray, Alice Duer Miller, Ellis Parker Butler, Washington Irving ;e-artnow ;2019-11-26 ; ;
